feature,feature_value,shap_value,absolute_impact
sttl,254.0,0.06797027538376359,0.06797027538376359
ct_state_ttl,2.0,0.038689120442019026,0.038689120442019026
ct_dst_sport_ltm,1.0,-0.021254971444374174,0.021254971444374174
dload,0.0,0.017353539994208383,0.017353539994208383
sload,180363632.0,0.01630256000944439,0.01630256000944439
state,5.0,0.01515861889657644,0.01515861889657644
swin,0.0,0.012846914271544215,0.012846914271544215
dmean,0.0,0.012226960391429738,0.012226960391429738
sloss,0.0,0.011870132310231188,0.011870132310231188
ct_srv_src,2.0,0.011731454093100772,0.011731454093100772
synack,0.0,0.010608464156783048,0.010608464156783048
service,0.0,-0.010530588172543197,0.010530588172543197
tcprtt,0.0,0.01002530346984626,0.01002530346984626
dpkts,0.0,0.009501273665042345,0.009501273665042345
rate,90909.0902,0.008971246686595144,0.008971246686595144
sbytes,496.0,-0.008619363026783854,0.008619363026783854
sinpkt,0.011,-0.008592801606299003,0.008592801606299003
proto,119.0,-0.00821242139983481,0.00821242139983481
dur,1.1e-05,-0.00818348351626505,0.00818348351626505
dbytes,0.0,0.006318792130142963,0.006318792130142963
ct_dst_src_ltm,2.0,-0.0057379000537090465,0.0057379000537090465
ct_src_dport_ltm,1.0,0.005642942458254664,0.005642942458254664
ct_srv_dst,2.0,-0.004979125021092494,0.004979125021092494
ct_src_ltm,1.0,-0.004933685459484231,0.004933685459484231
spkts,2.0,-0.004770682334679873,0.004770682334679873
ackdat,0.0,-0.004320994445184329,0.004320994445184329
is_sm_ips_ports,0.0,0.004236119117610171,0.004236119117610171
sjit,0.0,-0.0037077682932921013,0.0037077682932921013
dttl,0.0,-0.0034943980905083123,0.0034943980905083123
dloss,0.0,0.003162487472963964,0.003162487472963964
smean,248.0,0.0027622594543326158,0.0027622594543326158
stcpb,0.0,0.0014262168318326927,0.0014262168318326927
dwin,0.0,0.0013764658464370456,0.0013764658464370456
dinpkt,0.0,0.001202608904403236,0.001202608904403236
djit,0.0,-0.0010856747339006317,0.0010856747339006317
ct_dst_ltm,1.0,0.0008141632983214059,0.0008141632983214059
ct_flw_http_mthd,0.0,-0.0005755292719874899,0.0005755292719874899
trans_depth,0.0,-0.0004302005292410275,0.0004302005292410275
dtcpb,0.0,-0.0003421087229331857,0.0003421087229331857
response_body_len,0.0,5.63882648858815e-05,5.63882648858815e-05
ct_ftp_cmd,0.0,-4.443188602639958e-06,4.443188602639958e-06
is_ftp_login,0.0,2.5796086438140367e-06,2.5796086438140367e-06
